"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2024","3.132","3.426","3.562","3.072","","-6.20%"
"11/21/2024","3.339","3.216","3.451","3.195","192.16K","4.57%"
"11/20/2024","3.193","2.962","3.237","2.942","225.69K","6.50%"
"11/19/2024","2.998","2.951","3.058","2.905","211.93K","0.84%"
"11/18/2024","2.973","2.925","2.977","2.832","188.34K","5.31%"
"11/15/2024","2.823","2.765","2.843","2.688","181.09K","1.36%"
"11/14/2024","2.785","2.981","2.985","2.759","209.68K","-6.64%"
"11/13/2024","2.983","2.914","3.020","2.830","218.40K","2.61%"
"11/12/2024","2.907","2.952","3.013","2.855","245.27K","-0.45%"
"11/11/2024","2.920","2.770","2.956","2.769","252.38K","9.40%"
"11/08/2024","2.669","2.694","2.748","2.643","158.00K","-0.89%"
"11/07/2024","2.693","2.711","2.778","2.656","165.55K","-1.97%"
"11/06/2024","2.747","2.679","2.796","2.660","157.30K","2.88%"
"11/05/2024","2.670","2.789","2.818","2.651","153.93K","-3.99%"
"11/04/2024","2.781","2.560","2.795","2.514","201.17K","4.43%"
"11/01/2024","2.663","2.702","2.724","2.632","166.42K","-1.63%"
"10/31/2024","2.707","2.813","2.830","2.688","185.49K","-4.85%"
"10/30/2024","2.845","2.905","2.919","2.770","162.83K","21.27%"
"10/29/2024","2.346","2.259","2.391","2.200","2.64K","1.60%"
"10/28/2024","2.309","2.505","2.516","2.268","89.41K","-9.80%"
"10/25/2024","2.560","2.531","2.579","2.460","67.46K","1.51%"
"10/24/2024","2.522","2.400","2.582","2.373","139.72K","-13.06%"
"10/23/2024","2.901","2.878","2.980","2.848","121.31K","25.53%"
"10/22/2024","2.311","2.364","2.375","2.271","198.77K","-17.67%"
"10/21/2024","2.807","2.740","2.862","2.712","111.07K","1.52%"
"10/18/2024","2.765","2.829","2.842","2.762","128.38K","-2.30%"
"10/17/2024","2.830","2.851","2.892","2.819","103.63K","-0.39%"
"10/16/2024","2.841","2.937","2.942","2.830","121.63K","-3.50%"
"10/15/2024","2.944","2.922","3.001","2.882","94.81K","0.48%"
"10/14/2024","2.930","3.030","3.039","2.915","80.92K","-3.84%"
"10/11/2024","3.047","3.115","3.146","3.030","81.89K","-1.77%"
"10/10/2024","3.102","3.099","3.128","3.048","94.80K","-0.45%"
"10/09/2024","3.116","3.176","3.185","3.084","88.81K","-2.59%"
"10/08/2024","3.199","3.202","3.230","3.162","75.26K","-0.59%"
"10/07/2024","3.218","3.282","3.316","3.197","104.32K","-2.63%"
"10/04/2024","3.305","3.370","3.406","3.288","83.10K","-1.90%"
"10/03/2024","3.369","3.329","3.387","3.303","59.49K","2.18%"
"10/02/2024","3.297","3.288","3.378","3.272","63.44K","0.27%"
"10/01/2024","3.288","3.330","3.338","3.253","69.60K","-1.70%"
"09/30/2024","3.345","3.302","3.368","3.274","67.90K","1.24%"
"09/27/2024","3.304","3.173","3.332","3.145","78.66K","20.01%"
"09/26/2024","2.753","2.829","2.883","2.731","187.37K","-2.27%"
"09/25/2024","2.817","2.814","2.887","2.795","183.26K","0.93%"
"09/24/2024","2.791","2.861","2.895","2.776","153.22K","-2.21%"
"09/23/2024","2.854","2.735","2.874","2.728","212.24K","4.97%"
"09/20/2024","2.719","2.603","2.743","2.582","183.09K","4.78%"
"09/19/2024","2.595","2.568","2.604","2.505","138.18K","1.17%"
"09/18/2024","2.565","2.606","2.656","2.560","95.43K","-1.84%"
"09/17/2024","2.613","2.645","2.691","2.603","118.35K","-0.99%"
"09/16/2024","2.639","2.580","2.656","2.547","108.85K","1.93%"
"09/13/2024","2.589","2.638","2.666","2.575","109.16K","-1.67%"
"09/12/2024","2.633","2.583","2.666","2.533","138.04K","2.17%"
"09/11/2024","2.577","2.538","2.597","2.513","114.66K","1.26%"
"09/10/2024","2.545","2.516","2.580","2.497","111.76K","0.71%"
"09/09/2024","2.527","2.557","2.581","2.506","109.25K","-2.70%"
