"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2024","2,143.6","2,141.8","2,154.8","2,123.8","","0.08%"
"08/15/2024","2,141.9","2,079.9","2,146.8","2,071.4","","2.98%"
"08/14/2024","2,079.9","2,093.1","2,129.2","2,072.2","","-0.62%"
"08/13/2024","2,092.9","2,061.6","2,098.4","2,051.6","","1.52%"
"08/12/2024","2,061.6","2,076.9","2,084.3","2,052.2","","-0.74%"
"08/11/2024","2,077.0","2,080.2","2,080.7","2,068.1","","0.08%"
"08/09/2024","2,075.3","2,084.8","2,099.7","2,062.6","","-0.52%"
"08/08/2024","2,086.1","2,024.5","2,087.4","2,019.8","","3.07%"
"08/07/2024","2,024.0","2,042.5","2,100.4","2,013.8","","-0.93%"
"08/06/2024","2,043.1","2,060.3","2,087.2","2,026.2","","-0.84%"
"08/05/2024","2,060.5","2,064.2","2,074.2","1,976.5","","-0.18%"
"08/04/2024","2,064.2","2,085.0","2,092.2","2,058.8","","-1.48%"
"08/02/2024","2,095.3","2,179.2","2,182.4","2,080.1","","-3.88%"
"08/01/2024","2,179.8","2,262.7","2,264.4","2,164.8","","-3.66%"
"07/31/2024","2,262.7","2,242.1","2,302.7","2,235.8","","0.91%"
"07/30/2024","2,242.2","2,224.2","2,260.8","2,218.9","","0.81%"
"07/29/2024","2,224.2","2,264.6","2,280.6","2,221.2","","-1.79%"
"07/28/2024","2,264.7","2,264.5","2,271.2","2,262.0","","0.28%"
"07/26/2024","2,258.4","2,232.4","2,271.2","2,232.2","","1.15%"
"07/25/2024","2,232.7","2,202.9","2,256.6","2,183.3","","1.34%"
"07/24/2024","2,203.2","2,239.3","2,254.9","2,193.3","","-1.59%"
"07/23/2024","2,238.8","2,222.8","2,254.8","2,205.5","","0.72%"
"07/22/2024","2,222.7","2,190.8","2,225.8","2,170.1","","1.45%"
"07/21/2024","2,190.9","2,187.7","2,190.9","2,180.4","","0.29%"
"07/19/2024","2,184.5","2,204.1","2,205.2","2,173.8","","-0.89%"
